cor,vazao,pressao,altura,distancia_pontas,angulo_real,cv,vazao_real
Azul,1.1355,4,70,50,103.93,4.268159287,1.37
,,,,,,,
Azul,1.1355,3,70,50,100.26,3.677177534,1.18
Azul,1.1355,3,70,50,100.46,3.988207279,1.19
Azul,1.1355,3,70,50,100.13,3.706609709,1.18
,,,,,,,
Azul,1.1355,2,70,50,94.13,2.95495253,0.96
Azul,1.1355,2,70,50,94.39,4.979866732,0.96
Azul,1.1355,2,70,50,95.15,3.940819152,0.96
,,,,,,,
Amarela,0.757,4,70,50,103.43,4.467778376,0.91
Amarela,0.757,4,70,50,103.52,4.953401785,0.91
Amarela,0.757,4,70,50,104.32,5.888914128,0.92
,,,,,,,
Amarela,0.757,3,70,50,99.23,3.854491497,0.78
Amarela,0.757,3,70,50,100.26,3.774928517,0.78
Amarela,0.757,3,70,50,100.69,3.438008059,0.78
,,,,,,,
Amarela,0.757,2,70,50,95.77,3.41875124,0.62
Amarela,0.757,2,70,50,95.55,3.082037477,0.63
Amarela,0.757,2,70,50,95.47,3.405362944,0.63
,,,,,,,
Verde,0.56775,4,70,50,89.63,9.377552687,0.69
Verde,0.56775,4,70,50,89.91,9.675576124,0.69
Verde,0.56775,4,70,50,89.7,9.862621707,0.69
,,,,,,,
Verde,0.56775,3,70,50,83.73,10.32633466,0.6
Verde,0.56775,3,70,50,83.33,10.48504962,0.6
Verde,0.56775,3,70,50,83.23,8.886196338,0.6
,,,,,,,
Verde,0.56775,2,70,50,75.8,8.794074858,0.49
Verde,0.56775,2,70,50,74.81,8.10404027,0.49
Verde,0.56775,2,70,50,75.92,7.203417992,0.49
,,,,,,,
Marrom,1.8925,4,70,30,105.46,6.059155193,2.14
Marrom,1.8925,4,70,30,105.37,6.032865634,2.14
Marrom,1.8925,4,70,30,105.71,5.725797082,2.14
,,,,,,,
Marrom,1.8925,3,70,30,100.63,4.248641364,1.93
Marrom,1.8925,3,70,30,100.14,5.036412599,1.94
Marrom,1.8925,3,70,30,100.79,5.21165751,1.94
,,,,,,,
Marrom,1.8925,2,70,30,95.47,6.790916689,1.57
Marrom,1.8925,2,70,30,95.5,3.744178313,1.57
Marrom,1.8925,2,70,30,94.53,4.844839013,1.56
,,,,,,,
Vermelha,1.514,4,70,30,103.46,3.652378583,1.82
Vermelha,1.514,4,70,30,103.96,4.364907207,1.83
Vermelha,1.514,4,70,30,104.12,2.864786919,1.82
,,,,,,,
Vermelha,1.514,3,70,30,100.11,3.246904321,1.53
Vermelha,1.514,3,70,30,100.53,2.874179699,1.54
Vermelha,1.514,3,70,30,100.53,5.369849834,1.54
,,,,,,,
Vermelha,1.514,2,70,30,94.44,2.946619695,1.26
Vermelha,1.514,2,70,30,94.96,3.018079593,1.27
Vermelha,1.514,2,70,30,94.62,5.062684473,1.27
,,,,,,,
Azul,1.1355,4,70,30,103.45,4.148406388,1.37
Azul,1.1355,4,70,30,103.86,3.269908114,1.37
Azul,1.1355,4,70,30,103.93,3.484337102,1.37
,,,,,,,
Azul,1.1355,3,70,30,100.26,3.342433061,1.18
Azul,1.1355,3,70,30,100.46,2.307751586,1.19
Azul,1.1355,3,70,30,100.13,3.656273935,1.18
,,,,,,,
Azul,1.1355,2,70,30,94.13,2.530201601,0.96
Azul,1.1355,2,70,30,94.39,3.006781896,0.96
Azul,1.1355,2,70,30,95.15,3.430017004,0.96
,,,,,,,
Amarela,0.757,4,70,30,103.43,2.909134954,0.91
Amarela,0.757,4,70,30,103.52,2.466843449,0.91
Amarela,0.757,4,70,30,104.32,2.566965651,0.92
,,,,,,,
Amarela,0.757,3,70,30,99.23,2.249251119,0.78
Amarela,0.757,3,70,30,100.26,2.993325909,0.78
Amarela,0.757,3,70,30,100.69,2.790568841,0.78
,,,,,,,
Amarela,0.757,2,70,30,95.77,6.711494159,0.62
Amarela,0.757,2,70,30,95.55,3.541043877,0.63
Amarela,0.757,2,70,30,95.47,4.187674955,0.63
,,,,,,,
Verde,0.56775,4,70,30,89.63,4.26823678,0.69
Verde,0.56775,4,70,30,89.91,4.969289606,0.69
Verde,0.56775,4,70,30,89.7,5.206939124,0.69
,,,,,,,
Verde,0.56775,3,70,30,83.73,4.650112912,0.6
Verde,0.56775,3,70,30,83.33,5.044774216,0.6
Verde,0.56775,3,70,30,83.23,5.179177627,0.6
,,,,,,,
Verde,0.56775,2,70,30,75.8,6.392603899,0.49
Verde,0.56775,2,70,30,74.81,7.024006484,0.49
Verde,0.56775,2,70,30,75.92,7.457315567,0.49
,,,,,,,
Marrom,1.8925,4,70,70,105.46,4.167884401,2.14
Marrom,1.8925,4,70,70,105.37,6.726603678,2.14
Marrom,1.8925,4,70,70,105.71,5.422691865,2.14
,,,,,,,
Marrom,1.8925,3,70,70,100.63,4.58587941,1.93
Marrom,1.8925,3,70,70,100.14,4.591900757,1.94
Marrom,1.8925,3,70,70,100.79,3.978281394,1.94
,,,,,,,
Marrom,1.8925,2,70,70,95.47,5.396326696,1.57
Marrom,1.8925,2,70,70,95.5,5.244518676,1.57
Marrom,1.8925,2,70,70,94.53,6.593571248,1.56
,,,,,,,
Vermelha,1.514,4,70,70,103.46,6.073542268,1.82
Vermelha,1.514,4,70,70,103.96,2.971450277,1.83
Vermelha,1.514,4,70,70,104.12,3.050938138,1.82
,,,,,,,
Vermelha,1.514,3,70,70,100.11,2.46399401,1.53
Vermelha,1.514,3,70,70,100.53,2.760945577,1.54
Vermelha,1.514,3,70,70,100.53,3.511638554,1.54
,,,,,,,
Vermelha,1.514,2,70,70,94.44,3.941529198,1.26
Vermelha,1.514,2,70,70,94.96,3.599513617,1.27
Vermelha,1.514,2,70,70,94.62,3.122772921,1.27
,,,,,,,
Azul,1.1355,4,70,70,103.45,7.305246582,1.37
Azul,1.1355,4,70,70,103.86,8.954903827,1.37
Azul,1.1355,4,70,70,103.93,8.6179918,1.37
,,,,,,,
Azul,1.1355,3,70,70,100.26,10.98707675,1.18
Azul,1.1355,3,70,70,100.46,10.95549272,1.19
Azul,1.1355,3,70,70,100.13,10.94216941,1.18
,,,,,,,
Azul,1.1355,2,70,70,94.13,10.08182161,0.96
Azul,1.1355,2,70,70,94.39,9.7474203,0.96
Azul,1.1355,2,70,70,95.15,10.41698711,0.96
,,,,,,,
Amarela,0.757,4,70,70,103.43,4.061320088,0.91
Amarela,0.757,4,70,70,103.52,3.149744836,0.91
Amarela,0.757,4,70,70,104.32,3.395625142,0.92
,,,,,,,
Amarela,0.757,3,70,70,99.23,1.63555304,0.78
Amarela,0.757,3,70,70,100.26,4.928456718,0.78
Amarela,0.757,3,70,70,100.69,7.047408972,0.78
,,,,,,,
Amarela,0.757,2,70,70,95.77,9.001402049,0.62
Amarela,0.757,2,70,70,95.55,18.21498834,0.63
Amarela,0.757,2,70,70,95.47,7.807718613,0.63
,,,,,,,
Verde,0.56775,4,70,70,89.63,6.133864568,0.69
Verde,0.56775,4,70,70,89.91,5.053137177,0.69
Verde,0.56775,4,70,70,89.7,5.558428336,0.69
,,,,,,,
Verde,0.56775,3,70,70,83.73,3.34496804,0.6
Verde,0.56775,3,70,70,83.33,3.271244307,0.6
Verde,0.56775,3,70,70,83.23,4.566385375,0.6
,,,,,,,
Verde,0.56775,2,70,70,75.8,11.31403338,0.49
Verde,0.56775,2,70,70,74.81,12.79270474,0.49
Verde,0.56775,2,70,70,75.92,10.67307171,0.49
